index;cell_id;min_lat;min_lon;max_lat;max_lon;line;column;matrix_id;cell;inside
230;230;26,42;114,36;27,6;116,4;7;20;main;POLYGON ((116.4 26.42, 116.4 27.6, 114.36 27.6, 114.36 26.42, 116.4 26.42));True
231;231;26,42;116,4;27,6;118,44;7;21;main;POLYGON ((118.44 26.42, 118.44 27.6, 116.4 27.6, 116.4 26.42, 118.44 26.42));True
232;232;26,42;118,44;27,6;120,48;7;22;main;POLYGON ((120.48 26.42, 120.48 27.6, 118.44 27.6, 118.44 26.42, 120.48 26.42));True
233;233;26,42;120,48;27,6;122,52;7;23;main;POLYGON ((122.52 26.42, 122.52 27.6, 120.48 27.6, 120.48 26.42, 122.52 26.42));True
245;245;27,6;83,76;28,78;85,8;8;5;main;POLYGON ((85.8 27.6, 85.8 28.78, 83.76 28.78, 83.76 27.6, 85.8 27.6));True
246;246;27,6;85,8;28,78;87,84;8;6;main;POLYGON ((87.84 27.6, 87.84 28.78, 85.8 28.78, 85.8 27.6, 87.84 27.6));True
247;247;27,6;87,84;28,78;89,88;8;7;main;POLYGON ((89.88 27.6, 89.88 28.78, 87.84 28.78, 87.84 27.6, 89.88 27.6));True
248;248;27,6;89,88;28,78;91,92;8;8;main;POLYGON ((91.92 27.6, 91.92 28.78, 89.88 28.78, 89.88 27.6, 91.92 27.6));True
249;249;27,6;91,92;28,78;93,96;8;9;main;POLYGON ((93.96 27.6, 93.96 28.78, 91.92 28.78, 91.92 27.6, 93.96 27.6));True
250;250;27,6;93,96;28,78;96,0;8;10;main;POLYGON ((96 27.6, 96 28.78, 93.96 28.78, 93.96 27.6, 96 27.6));True
251;251;27,6;96,0;28,78;98,04;8;11;main;POLYGON ((98.04 27.6, 98.04 28.78, 96 28.78, 96 27.6, 98.04 27.6));True
252;252;27,6;98,04;28,78;100,08;8;12;main;POLYGON ((100.08 27.6, 100.08 28.78, 98.04 28.78, 98.04 27.6, 100.08 27.6));True
253;253;27,6;100,08;28,78;102,12;8;13;main;POLYGON ((102.12 27.6, 102.12 28.78, 100.08 28.78, 100.08 27.6, 102.12 27.6));True
254;254;27,6;102,12;28,78;104,16;8;14;main;POLYGON ((104.16 27.6, 104.16 28.78, 102.12 28.78, 102.12 27.6, 104.16 27.6));True
255;255;27,6;104,16;28,78;106,2;8;15;main;POLYGON ((106.2 27.6, 106.2 28.78, 104.16 28.78, 104.16 27.6, 106.2 27.6));True
256;256;27,6;106,2;28,78;108,24;8;16;main;POLYGON ((108.24 27.6, 108.24 28.78, 106.2 28.78, 106.2 27.6, 108.24 27.6));True
257;257;27,6;108,24;28,78;110,28;8;17;main;POLYGON ((110.28 27.6, 110.28 28.78, 108.24 28.78, 108.24 27.6, 110.28 27.6));True
258;258;27,6;110,28;28,78;112,32;8;18;main;POLYGON ((112.32 27.6, 112.32 28.78, 110.28 28.78, 110.28 27.6, 112.32 27.6));True
259;259;27,6;112,32;28,78;114,36;8;19;main;POLYGON ((114.36 27.6, 114.36 28.78, 112.32 28.78, 112.32 27.6, 114.36 27.6));True
260;260;27,6;114,36;28,78;116,4;8;20;main;POLYGON ((116.4 27.6, 116.4 28.78, 114.36 28.78, 114.36 27.6, 116.4 27.6));True
261;261;27,6;116,4;28,78;118,44;8;21;main;POLYGON ((118.44 27.6, 118.44 28.78, 116.4 28.78, 116.4 27.6, 118.44 27.6));True
262;262;27,6;118,44;28,78;120,48;8;22;main;POLYGON ((120.48 27.6, 120.48 28.78, 118.44 28.78, 118.44 27.6, 120.48 27.6));True
263;263;27,6;120,48;28,78;122,52;8;23;main;POLYGON ((122.52 27.6, 122.52 28.78, 120.48 28.78, 120.48 27.6, 122.52 27.6));True
274;274;28,78;81,72;29,96;83,76;9;4;main;POLYGON ((83.76 28.78, 83.76 29.96, 81.72 29.96, 81.72 28.78, 83.76 28.78));True
275;275;28,78;83,76;29,96;85,8;9;5;main;POLYGON ((85.8 28.78, 85.8 29.96, 83.76 29.96, 83.76 28.78, 85.8 28.78));True
276;276;28,78;85,8;29,96;87,84;9;6;main;POLYGON ((87.84 28.78, 87.84 29.96, 85.8 29.96, 85.8 28.78, 87.84 28.78));True
277;277;28,78;87,84;29,96;89,88;9;7;main;POLYGON ((89.88 28.78, 89.88 29.96, 87.84 29.96, 87.84 28.78, 89.88 28.78));True
278;278;28,78;89,88;29,96;91,92;9;8;main;POLYGON ((91.92 28.78, 91.92 29.96, 89.88 29.96, 89.88 28.78, 91.92 28.78));True
279;279;28,78;91,92;29,96;93,96;9;9;main;POLYGON ((93.96 28.78, 93.96 29.96, 91.92 29.96, 91.92 28.78, 93.96 28.78));True
280;280;28,78;93,96;29,96;96,0;9;10;main;POLYGON ((96 28.78, 96 29.96, 93.96 29.96, 93.96 28.78, 96 28.78));True
